#,Dato,Fila,Columna,Fuente,Latencia (ns), Ancho de Banda (Gbps)
  1,5f952,5,1,5,140,0.286
  2,2379f,5,1,5,320,0.125
  3,4d967,5,1,5,380,0.105
  4,0a5a7,5,1,5,400,0.100
  5,5762f,5,1,5,410,0.098
  6,43af9,5,1,5,450,0.089
  7,11b39,5,1,5,540,0.074
  8,63e54,5,1,5,630,0.063
  9,215ee,5,1,5,650,0.062
 10,5d1eb,5,1,5,730,0.055
 11,2d9fc,5,1,5,690,0.058
 12,46592,5,1,5,730,0.055
 13,4ea88,5,1,5,730,0.055
 14,25547,5,1,5,730,0.055
 15,6840c,5,1,5,760,0.053
 16,210b0,5,1,5,730,0.055
 17,4aaea,5,1,5,720,0.056
 18,1fd2e,5,1,5,730,0.055
 19,06e8b,5,1,5,740,0.054
 20,358a1,5,1,5,750,0.053
 21,60ffd,5,1,5,760,0.053
 22,08147,5,1,5,730,0.055
 23,18527,5,1,5,690,0.058
 24,4552e,5,1,5,720,0.056
 25,69a0d,5,1,5,760,0.053
 26,3f514,5,1,5,720,0.056
 27,40355,5,1,5,730,0.055
 28,3000f,5,1,5,710,0.056
 29,4d9c4,5,1,5,750,0.053
 30,5663a,5,1,5,750,0.053
 31,68890,5,1,5,760,0.053
