#,Dato,Fila,Columna,Fuente,Latencia (ns), Ancho de Banda (Gbps)
  1,5f952,5,1,5,140,0.286
  2,2379f,5,1,5,320,0.125
  3,4d967,5,1,5,380,0.105
  4,0a5a7,5,1,5,400,0.100
  5,5762f,5,1,5,410,0.098
  6,43af9,5,1,5,450,0.089
  7,11b39,5,1,5,540,0.074
  8,215ee,5,1,5,550,0.073
  9,2d9fc,5,1,5,490,0.082
 10,46592,5,1,5,530,0.075
 11,4ea88,5,1,5,530,0.075
 12,25547,5,1,5,530,0.075
 13,6840c,5,1,5,560,0.071
 14,210b0,5,1,5,530,0.075
 15,4aaea,5,1,5,520,0.077
 16,1fd2e,5,1,5,530,0.075
 17,06e8b,5,1,5,540,0.074
 18,358a1,5,1,5,550,0.073
 19,60ffd,5,1,5,560,0.071
 20,08147,5,1,5,530,0.075
 21,18527,5,1,5,490,0.082
 22,4552e,5,1,5,520,0.077
 23,69a0d,5,1,5,560,0.071
 24,3f514,5,1,5,520,0.077
 25,40355,5,1,5,530,0.075
 26,3000f,5,1,5,510,0.078
 27,4d9c4,5,1,5,550,0.073
 28,5663a,5,1,5,550,0.073
 29,68890,5,1,5,560,0.071
